"","lat","lon"
"1",44.8527374267578,-93.2428665161133
"2",44.852668762207,-93.2428588867188
"3",44.8526306152344,-93.2427673339844
"4",44.8523979187012,-93.2424468994141
"5",44.8523902893066,-93.2407608032227
"6",44.8526992797852,-93.2407379150391
"7",44.8527374267578,-93.2406768798828
"8",44.8527488708496,-93.2406005859375
"9",44.8527183532715,-93.2403945922852
"10",44.8526382446289,-93.2401885986328
"11",44.8526191711426,-93.2399139404297
"12",44.8526077270508,-93.2383346557617
"13",44.8526306152344,-93.2382507324219
"14",44.8526573181152,-93.2381744384766
"15",44.8527488708496,-93.2381210327148
"16",44.8528175354004,-93.2380981445312
"17",44.8532371520996,-93.2381591796875
"18",44.8541374206543,-93.2381973266602
"19",44.8545799255371,-93.2382202148438
"20",44.8545684814453,-93.2384796142578
"21",44.8545875549316,-93.2384567260742
"22",44.8546600341797,-93.2384643554688
"23",44.8546905517578,-93.2385482788086
"24",44.854679107666,-93.239128112793
"25",44.8546295166016,-93.2392044067383
"26",44.8545188903809,-93.2392196655273
"27",44.8536682128906,-93.2392196655273
"28",44.8536186218262,-93.2391891479492
"29",44.8535804748535,-93.2391357421875
"30",44.8535690307617,-93.2385101318359
"31",44.853630065918,-93.2384643554688
"32",44.8537292480469,-93.2384796142578
"33",44.8537406921387,-93.2380294799805
"34",44.8536491394043,-93.2377471923828
"35",44.8534774780273,-93.2377471923828
"36",44.852108001709,-93.2377090454102
"37",44.8522491455078,-93.2381896972656
"38",44.8524169921875,-93.2391052246094
"39",44.8524398803711,-93.2393341064453
"40",44.8524398803711,-93.2408676147461
"41",44.8524284362793,-93.2433700561523
"42",44.8524169921875,-93.2446060180664
"43",44.8524894714355,-93.2463455200195
"44",44.8524971008301,-93.2468566894531
"45",44.8524780273438,-93.2470245361328
"46",44.8523406982422,-93.2474060058594
"47",44.852237701416,-93.24755859375
"48",44.8520889282227,-93.2476959228516
"49",44.8519973754883,-93.2477493286133
"50",44.8518104553223,-93.2478103637695
"51",44.8516693115234,-93.2478256225586
"52",44.8507270812988,-93.2478179931641
"53",44.8496704101562,-93.2477645874023
"54",44.848560333252,-93.247688293457
"55",44.8481979370117,-93.2476501464844
"56",44.8479881286621,-93.2475967407227
"57",44.847110748291,-93.2475967407227
"58",44.8465881347656,-93.2476043701172
"59",44.8461799621582,-93.24755859375
"60",44.845287322998,-93.2473602294922
"61",44.8447570800781,-93.247184753418
"62",44.8441886901855,-93.246940612793
"63",44.8433685302734,-93.246467590332
"64",44.8429794311523,-93.246208190918
"65",44.8427581787109,-93.2460174560547
"66",44.8401794433594,-93.2439651489258
"67",44.8386306762695,-93.2426986694336
"68",44.8369979858398,-93.2414093017578
"69",44.8365287780762,-93.2410583496094
"70",44.8356399536133,-93.2402954101562
"71",44.8320007324219,-93.2374267578125
"72",44.8306884765625,-93.2363357543945
"73",44.829948425293,-93.235595703125
"74",44.8293991088867,-93.234977722168
"75",44.8290100097656,-93.234489440918
"76",44.8282089233398,-93.2333602905273
"77",44.8270378112793,-93.231559753418
"78",44.8263778686523,-93.2304458618164
"79",44.8243598937988,-93.2275085449219
"80",44.8236198425293,-93.226676940918
"81",44.8231086730957,-93.2262191772461
"82",44.8227005004883,-93.2259063720703
"83",44.8221588134766,-93.2255477905273
"84",44.8193778991699,-93.2239456176758
"85",44.8128089904785,-93.2201156616211
"86",44.812328338623,-93.2199096679688
"87",44.8118095397949,-93.2197189331055
"88",44.8111305236816,-93.2195205688477
"89",44.8104286193848,-93.2194290161133
"90",44.8100204467773,-93.2194061279297
"91",44.8094291687012,-93.2194595336914
"92",44.8089904785156,-93.2195281982422
"93",44.8085975646973,-93.2196273803711
"94",44.8080596923828,-93.2198104858398
"95",44.8068504333496,-93.220344543457
"96",44.8057098388672,-93.2208709716797
"97",44.804557800293,-93.221305847168
"98",44.8034973144531,-93.2216339111328
"99",44.802978515625,-93.2217788696289
"100",44.8005294799805,-93.2221603393555
"101",44.800178527832,-93.2221755981445
"102",44.7989501953125,-93.2221908569336
"103",44.7946395874023,-93.2222595214844
"104",44.7937202453613,-93.2222290039062
"105",44.7924385070801,-93.2220840454102
"106",44.7913589477539,-93.2219314575195
"107",44.7905387878418,-93.2217178344727
"108",44.7899780273438,-93.221549987793
"109",44.7890892028809,-93.2212371826172
"110",44.7886199951172,-93.2210540771484
"111",44.7873878479004,-93.2205276489258
"112",44.7864875793457,-93.2201309204102
"113",44.7857284545898,-93.2197875976562
"114",44.784797668457,-93.2193908691406
"115",44.7840576171875,-93.2190475463867
"116",44.7832794189453,-93.2186660766602
"117",44.7827301025391,-93.2184295654297
"118",44.7823791503906,-93.2183151245117
"119",44.7816200256348,-93.2180786132812
"120",44.7807998657227,-93.2178497314453
"121",44.7800178527832,-93.2176513671875
"122",44.779727935791,-93.2175979614258
"123",44.7790679931641,-93.2174987792969
"124",44.7784996032715,-93.2174453735352
"125",44.7776679992676,-93.217414855957
"126",44.7763404846191,-93.2173767089844
"127",44.7752799987793,-93.217414855957
"128",44.7716789245605,-93.2175064086914
"129",44.7688293457031,-93.2175979614258
"130",44.7656898498535,-93.2176742553711
"131",44.7646102905273,-93.2177276611328
"132",44.7628173828125,-93.2177886962891
"133",44.7597694396973,-93.2178649902344
"134",44.7590484619141,-93.2178802490234
"135",44.7554473876953,-93.2179870605469
"136",44.7543907165527,-93.2180099487305
"137",44.7538871765137,-93.2180099487305
"138",44.7528800964355,-93.2179565429688
"139",44.7514686584473,-93.2179183959961
"140",44.7505378723145,-93.217887878418
"141",44.7487983703613,-93.2178192138672
