"","lat","lon"
"1",44.9785079956055,-93.2634811401367
"2",44.9793701171875,-93.2627563476562
"3",44.9794807434082,-93.2626495361328
"4",44.979248046875,-93.2621154785156
"5",44.9789886474609,-93.2614898681641
"6",44.9790573120117,-93.2614364624023
"7",44.9789886474609,-93.2614898681641
"8",44.979248046875,-93.2621154785156
"9",44.9798202514648,-93.2634658813477
"10",44.980037689209,-93.2639694213867
"11",44.9801788330078,-93.2639389038086
"12",44.9807281494141,-93.2634658813477
"13",44.9810104370117,-93.2632369995117
"14",44.981616973877,-93.2627258300781
"15",44.9819679260254,-93.2624359130859
"16",44.9820976257324,-93.2626953125
"17",44.9825706481934,-93.2638168334961
"18",44.9831390380859,-93.26513671875
"19",44.9826698303223,-93.2655410766602
"20",44.9822006225586,-93.2659149169922
"21",44.982177734375,-93.2659606933594
"22",44.981258392334,-93.266716003418
"23",44.9801979064941,-93.2676544189453
"24",44.9782371520996,-93.2692565917969
"25",44.9762992858887,-93.2708892822266
"26",44.9744071960449,-93.2725143432617
"27",44.9724082946777,-93.2740783691406
"28",44.9720001220703,-93.2744369506836
"29",44.9714279174805,-93.2749252319336
"30",44.9708786010742,-93.2735443115234
"31",44.9705085754395,-93.2726593017578
"32",44.9699974060059,-93.2714385986328
"33",44.9699592590332,-93.2709197998047
"34",44.969898223877,-93.2705612182617
"35",44.9698677062988,-93.2703475952148
"36",44.9698181152344,-93.2702178955078
"37",44.9697189331055,-93.2701187133789
"38",44.9696006774902,-93.2700500488281
"39",44.9694404602051,-93.2700042724609
"40",44.9686088562012,-93.2699508666992
"41",44.9678382873535,-93.2698745727539
"42",44.9667778015137,-93.269905090332
"43",44.9640884399414,-93.269905090332
"44",44.9590377807617,-93.2699356079102
"45",44.9572677612305,-93.2699356079102
"46",44.9567794799805,-93.27001953125
"47",44.9557685852051,-93.2703475952148
"48",44.9536094665527,-93.272087097168
"49",44.9515075683594,-93.2738494873047
"50",44.9509887695312,-93.2742156982422
"51",44.9504203796387,-93.2745361328125
"52",44.950008392334,-93.2747268676758
"53",44.9494400024414,-93.2748641967773
"54",44.9490089416504,-93.2749176025391
"55",44.943920135498,-93.2749404907227
"56",44.9397773742676,-93.2748413085938
"57",44.9284706115723,-93.2748184204102
"58",44.9250183105469,-93.2748489379883
"59",44.9242172241211,-93.2748260498047
"60",44.9235382080078,-93.2749176025391
"61",44.9222297668457,-93.2749786376953
"62",44.9192504882812,-93.2750396728516
"63",44.9151573181152,-93.2750549316406
"64",44.9124374389648,-93.2749099731445
"65",44.9072494506836,-93.2750244140625
"66",44.9033584594727,-93.2751007080078
"67",44.899169921875,-93.2751388549805
"68",44.897518157959,-93.2752685546875
"69",44.8940086364746,-93.2753601074219
"70",44.8932189941406,-93.2753448486328
"71",44.8928298950195,-93.2753753662109
"72",44.8924903869629,-93.2754287719727
"73",44.8918876647949,-93.2756958007812
"74",44.8916091918945,-93.2758941650391
"75",44.8911399841309,-93.2762985229492
"76",44.8909072875977,-93.2766189575195
"77",44.8907089233398,-93.276985168457
"78",44.8904991149902,-93.2775802612305
"79",44.8904075622559,-93.2780456542969
"80",44.8902702331543,-93.2788162231445
"81",44.8902702331543,-93.2793579101562
"82",44.890308380127,-93.2809906005859
"83",44.890308380127,-93.2829360961914
"84",44.8903770446777,-93.2893600463867
"85",44.8903503417969,-93.291130065918
"86",44.8903579711914,-93.2922897338867
"87",44.8903198242188,-93.2927474975586
"88",44.8902397155762,-93.2931976318359
"89",44.8901290893555,-93.2936172485352
"90",44.889949798584,-93.2941284179688
"91",44.8897476196289,-93.2945785522461
"92",44.8895683288574,-93.2949066162109
"93",44.8893089294434,-93.2952575683594
"94",44.8889999389648,-93.2956085205078
"95",44.8886375427246,-93.2959060668945
"96",44.8882598876953,-93.2961273193359
"97",44.8878173828125,-93.2962799072266
"98",44.8873977661133,-93.2963638305664
"99",44.887020111084,-93.2963943481445
"100",44.8860778808594,-93.2963256835938
"101",44.885066986084,-93.2963638305664
"102",44.884220123291,-93.2964553833008
"103",44.883430480957,-93.2964859008789
"104",44.8823471069336,-93.2964477539062
"105",44.8812980651855,-93.2964553833008
"106",44.8804588317871,-93.2965240478516
"107",44.8805770874023,-93.2964782714844
"108",44.8800582885742,-93.2967147827148
"109",44.8777503967285,-93.2979278564453
"110",44.877010345459,-93.2982406616211
"111",44.8763885498047,-93.2984161376953
"112",44.8756790161133,-93.2985687255859
"113",44.8743591308594,-93.298698425293
"114",44.8727607727051,-93.2988739013672
"115",44.8708801269531,-93.2990341186523
"116",44.8686981201172,-93.2991790771484
"117",44.8667793273926,-93.2991104125977
"118",44.8619194030762,-93.2985382080078
"119",44.8594970703125,-93.2982559204102
"120",44.8589897155762,-93.298225402832
"121",44.8586006164551,-93.2982406616211
"122",44.857479095459,-93.2981872558594
"123",44.8549385070801,-93.2981948852539
"124",44.8526573181152,-93.2982482910156
"125",44.8479804992676,-93.2982559204102
"126",44.8410797119141,-93.2983703613281
"127",44.8403472900391,-93.2983703613281
"128",44.8397598266602,-93.2983245849609
"129",44.8391990661621,-93.298225402832
"130",44.8380393981934,-93.2978897094727
"131",44.8375205993652,-93.2976303100586
"132",44.8364601135254,-93.2969665527344
"133",44.8307876586914,-93.2933959960938
"134",44.829418182373,-93.2926559448242
"135",44.8288879394531,-93.2925109863281
"136",44.8285179138184,-93.2924041748047
"137",44.8282203674316,-93.2923583984375
"138",44.8279685974121,-93.292366027832
"139",44.8278388977051,-93.2923965454102
"140",44.8276405334473,-93.2924957275391
"141",44.8275375366211,-93.2925796508789
